id,5th,10th,first_positive_5,second_view_1,third_rating_people_5,positive_1,positive_2,positive_3,positive_4,positive_5,view_1,view_2,view_3,view_4,view_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,comment_writer_count,comment_writer,pos_keyword_1,pos_keyword_2,pos_keyword_3,neg_keyword_1,neg_keyword_2,neg_keyword_3,label,title
15067,0.5291067469969817,0,7,47660,1866.31,30,45,12,15,7,47660,49382,35250,29969,25529,3003.9,3279.36,2425.44,2298.9,1866.31,138,zkdl****,드디어,주짓수,기다렸어요,아무것도,있는데,주짓수,1,이거지롱
55031,0.4445705026810107,0,13,8070,3214.4,30,9,8,9,13,8070,4915,2269,1565,1233,3865.14,3321.34,2883.8700000000003,2803.2,3214.4,93,znfm****,재밌어요,웃대에서,재밌게,헐2009년때,감명깊게봤었는데,헐,1,이거지롱
58149,0.4895067813828043,0,28,1324,3403.9999999999995,57,75,45,52,28,1324,538,378,335,310,3582.67,5621.070000000001,5015.07,5740.9,3403.9999999999995,398,zzmz****,별,재밌어요,5개,음,바쿠만,그려,1,이거지롱
58456,0.5893374738845564,0,175,11817,19856.04,125,113,46,103,175,11817,8784,8052,7660,7227,21003.210000000003,20141.67,19178.16,18990.36,19856.04,799,zsx8****,무가,마왕,정주행,심심한,마왕,마왕의,1,이거지롱
62812,0.6471628640774735,0,108,8581,5114.6,113,84,44,59,108,8581,7125,6832,6383,6024,5277.240000000001,5060.12,4958.03,5078.4,5114.6,484,zxro****,정주행,귀엽다,넘,여자셨구나,첨부터,south,1,이거지롱
66465,0.6143615272217019,0,165,63943,19266.44,417,185,79,342,165,63943,34676,24370,19564,17547,24776.72,19285.2,18223.54,21824.6,19266.44,1315,zzzs****,정주행,완전,역주행,역주행,알보칠,헐,1,이거지롱
68423,0.5981576541171212,0,59,10334,15184.66,119,80,71,70,59,10334,7459,7072,6838,7037,17060.48,15602.69,15112.5,15079.2,15184.66,748,zzan****,샤월들은,보는,댓글을,댓글,보는,샤월,1,이거지롱
70872,0.6997471138178204,0,112,42000,14552.16,196,58,72,116,112,42000,23864,15727,12895,11485,17952.84,15178.24,14458.19,14594.13,14552.16,506,zena****,홍조,정주행,좋아요,왜,계속,왔는데,1,이거지롱
72251,0.6754285964256065,0,158,2300,14518.52,727,375,215,154,158,2300,1324,335,242,220,21606.53,19886.09,16789.64,15687.259999999998,14518.52,1633,zzzq****,다시,카이만,우와,뭔가,다시,왜,1,이거지롱
73774,0.5302921093669053,0,22,5628,1215.39,39,9,29,16,22,5628,2198,768,422,310,1447.6,1148.02,1277.02,1223.46,1215.39,148,zkzk****,재밌어요,재밌네요,재밌음,나만,뭐야,이게,1,이거지롱
83861,0.6060917639194612,0,49,6442,5844.3,52,58,69,52,49,6442,3707,1381,810,644,5529.599999999999,5903.68,5827.36,6076.94,5844.3,438,zzan****,재밌어요,재밌네요,귀신이,글을,2군데다,3번씩,1,이거지롱
86400,0.6882629230894763,0,79,139352,14794.15,313,147,100,90,79,139352,135997,54487,40623,36046,23362.59,19935.52,16784.86,15840.22,14794.15,874,zz41****,정주행,대박,와,이게,마카로,싸인펜으로,1,이거지롱
91487,0.5456270034917335,0,8,24651,1922.7,11,8,4,13,8,24651,16239,12199,11260,11971,1853.17,1879.1,1926.42,2186.8,1922.7,54,zths****,꼭,좋아요,잘보겠습니다,13,31,아니라,1,이거지롱
124079,0.6554571445834203,0,60,1169,5881.83,227,153,84,89,60,1169,704,637,656,572,8530.6,7156.26,6372.04,6504.1,5881.83,871,zzyu****,우왕,재밌어요,우와,우산으로,이게,왜,1,이거지롱
